"Census.Region","Census.Region.Code","State","State.Code","County","Heat.Deaths","Population.x","County.Code","Cold.Deaths","Population.y"
"Census Region 1: Northeast","CENS-R1","Connecticut",9,"Fairfield County, CT","Suppressed",3789349,9001,"14",3789349
"Census Region 1: Northeast","CENS-R1","Connecticut",9,"Hartford County, CT","Suppressed",3570497,9003,"16",3570497
"Census Region 1: Northeast","CENS-R1","Connecticut",9,"Litchfield County, CT","0",726054,9005,"Suppressed",726054
"Census Region 1: Northeast","CENS-R1","Connecticut",9,"Middlesex County, CT","0",651534,9007,"Suppressed",651534
"Census Region 1: Northeast","CENS-R1","Connecticut",9,"New Haven County, CT","Suppressed",3428025,9009,"10",3428025
"Census Region 1: Northeast","CENS-R1","Connecticut",9,"New London County, CT","0",1065794,9011,"Suppressed",1065794
"Census Region 1: Northeast","CENS-R1","Connecticut",9,"Tolland County, CT","0",602535,9013,"Suppressed",602535
"Census Region 1: Northeast","CENS-R1","Connecticut",9,"Windham County, CT","0",466767,9015,"0",466767
"Census Region 1: Northeast","CENS-R1","Maine",23,"Androscoggin County, ME","0",662325,23001,"Suppressed",662325
"Census Region 1: Northeast","CENS-R1","Maine",23,"Aroostook County, ME","0",402435,23003,"Suppressed",402435
"Census Region 1: Northeast","CENS-R1","Maine",23,"Cumberland County, ME","Suppressed",1809583,23005,"Suppressed",1809583
"Census Region 1: Northeast","CENS-R1","Maine",23,"Franklin County, ME","0",181071,23007,"Suppressed",181071
"Census Region 1: Northeast","CENS-R1","Maine",23,"Hancock County, ME","0",334305,23009,"Suppressed",334305
"Census Region 1: Northeast","CENS-R1","Maine",23,"Kennebec County, ME","Suppressed",744625,23011,"Suppressed",744625
"Census Region 1: Northeast","CENS-R1","Maine",23,"Knox County, ME","0",242719,23013,"Suppressed",242719
"Census Region 1: Northeast","CENS-R1","Maine",23,"Lincoln County, ME","0",212301,23015,"0",212301
"Census Region 1: Northeast","CENS-R1","Maine",23,"Oxford County, ME","0",351754,23017,"Suppressed",351754
"Census Region 1: Northeast","CENS-R1","Maine",23,"Penobscot County, ME","0",916680,23019,"Suppressed",916680
"Census Region 1: Northeast","CENS-R1","Maine",23,"Piscataquis County, ME","0",102649,23021,"Suppressed",102649
"Census Region 1: Northeast","CENS-R1","Maine",23,"Sagadahoc County, ME","0",219511,23023,"0",219511
"Census Region 1: Northeast","CENS-R1","Maine",23,"Somerset County, ME","0",304703,23025,"Suppressed",304703
"Census Region 1: Northeast","CENS-R1","Maine",23,"Waldo County, ME","0",240105,23027,"Suppressed",240105
"Census Region 1: Northeast","CENS-R1","Maine",23,"Washington County, ME","0",188455,23029,"Suppressed",188455
"Census Region 1: Northeast","CENS-R1","Maine",23,"York County, ME","0",1272845,23031,"Suppressed",1272845
"Census Region 1: Northeast","CENS-R1","Massachusetts",25,"Barnstable County, MA","0",1336170,25001,"Suppressed",1336170
"Census Region 1: Northeast","CENS-R1","Massachusetts",25,"Berkshire County, MA","0",759197,25003,"Suppressed",759197
"Census Region 1: Northeast","CENS-R1","Massachusetts",25,"Bristol County, MA","Suppressed",3438077,25005,"12",3438077
"Census Region 1: Northeast","CENS-R1","Massachusetts",25,"Dukes County, MA","0",114929,25007,"Suppressed",114929
"Census Region 1: Northeast","CENS-R1","Massachusetts",25,"Essex County, MA","Suppressed",4794863,25009,"Suppressed",4794863
"Census Region 1: Northeast","CENS-R1","Massachusetts",25,"Franklin County, MA","0",424155,25011,"Suppressed",424155
